"v /VON; pac dB20(V) (V2=0,V1=0,harmonic=0) X","v /VON; pac dB20(V) (V2=0,V1=0,harmonic=0) Y","v /VON; pac dB20(V) (V2=0,V1=1.8,harmonic=0) Y","v /VON; pac dB20(V) (V2=1.8,V1=0,harmonic=0) Y","v /VON; pac dB20(V) (V2=1.8,V1=1.8,harmonic=0) Y"
0.001,30.1035298,36.12382266,42.14422634,48.16464251
0.001737801,30.1035298,36.12382266,42.14422634,48.16464251
0.003019952,30.1035298,36.12382266,42.14422634,48.16464251
0.005248075,30.1035298,36.12382266,42.14422634,48.16464251
0.009120108,30.1035298,36.12382266,42.14422634,48.16464251
0.015848932,30.1035298,36.12382266,42.14422634,48.16464251
0.027542287,30.1035298,36.12382266,42.14422634,48.16464251
0.047863009,30.1035298,36.12382266,42.14422634,48.16464251
0.083176377,30.1035298,36.12382266,42.14422634,48.16464251
0.144543977,30.1035298,36.12382266,42.14422634,48.1646425
0.251188643,30.1035298,36.12382266,42.14422633,48.1646425
0.436515832,30.1035298,36.12382266,42.14422633,48.16464248
0.758577575,30.1035298,36.12382266,42.14422632,48.16464244
1.318256739,30.1035298,36.12382265,42.14422628,48.1646423
2.290867653,30.10352979,36.12382262,42.14422618,48.16464187
3.981071706,30.10352977,36.12382254,42.14422586,48.16464059
6.918309709,30.10352971,36.1238223,42.14422489,48.16463671
12.02264435,30.10352954,36.12382158,42.14422198,48.164625
20.89296131,30.103529,36.1238194,42.14421317,48.16458963
36.30780548,30.10352739,36.1238128,42.14418657,48.16448283
63.09573445,30.10352252,36.12379289,42.14410624,48.16416031
109.6478196,30.1035078,36.12373274,42.14386366,48.16318645
190.5460718,30.10346337,36.12355111,42.14313117,48.16024677
331.1311215,30.1033292,36.12300263,42.14091983,48.15138114
575.4399373,30.10292403,36.12134668,42.13424853,48.12471671
1000,30.10170067,36.11634963,42.11416349,48.04517103
1737.800829,30.09800827,36.10129356,42.05406542,47.81342795
3019.95172,30.08687641,36.05613922,41.87746191,47.18038259
5248.074602,30.05343083,35.92255702,41.38395721,45.68935451
9120.108394,29.95396194,35.54241661,40.1637954,42.95338158
15848.93192,29.66669307,34.56254199,37.75902353,39.13041521
27542.28703,28.89917732,32.49423895,34.17178373,34.70908678
47863.00923,27.16939364,29.18108434,29.86110286,30.0415311
83176.37711,24.17508118,25.01032623,25.23437351,25.28452574
144543.9771,20.18427752,20.43574851,20.48822449,20.49369
251188.6432,15.67604173,15.69733077,15.68982113,15.68016041
436515.8322,10.93347749,10.86682562,10.83719279,10.82191003
758577.575,6.019156065,5.899880555,5.856351115,5.837184802
1318256.739,0.774875605,0.558509287,0.486196013,0.45817891
2290867.653,-5.759633992,-6.21024505,-6.384928125,-6.44683367
3981071.706,-10.27530363,-10.57649017,-10.70854927,-10.7452215
