Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,MC
53,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.02E-07,-2.02E-07,-2.02E-07
239,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.03E-07,-2.03E-07,-2.03E-07
109,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.12E-07,-2.12E-07,-2.12E-07
238,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.17E-07,-2.17E-07,-2.17E-07
13,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.19E-07,-2.19E-07,-2.19E-07
198,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.32E-07,-2.32E-07,-2.32E-07
357,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.37E-07,-2.37E-07,-2.37E-07
470,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.40E-07,-2.40E-07,-2.40E-07
30,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.42E-07,-2.42E-07,-2.42E-07
131,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.43E-07,-2.43E-07,-2.43E-07
346,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.52E-07,-2.52E-07,-2.52E-07
471,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.54E-07,-2.54E-07,-2.54E-07
175,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.59E-07,-2.59E-07,-2.59E-07
213,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.61E-07,-2.61E-07,-2.61E-07
452,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.62E-07,-2.62E-07,-2.62E-07
184,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.81E-07,-2.81E-07,-2.81E-07
66,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.84E-07,-2.84E-07,-2.84E-07
195,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-2.85E-07,-2.85E-07,-2.85E-07
383,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.24E-07,-3.24E-07,-3.24E-07
139,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.33E-07,-3.33E-07,-3.33E-07
278,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.58E-07,-3.58E-07,-3.58E-07
85,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.68E-07,-3.68E-07,-3.68E-07
204,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.85E-07,-3.85E-07,-3.85E-07
102,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.86E-07,-3.86E-07,-3.86E-07
60,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.01E-07,-4.01E-07,-4.01E-07
68,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.23E-07,-4.23E-07,-4.23E-07
423,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.27E-07,-5.27E-07,-5.27E-07
130,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.51E-07,-8.51E-07,-4.51E-07
