Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,MC
398,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.88E-08,-3.88E-08,-3.88E-08
243,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.90E-08,-3.90E-08,-3.90E-08
207,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-3.97E-08,-3.97E-08,-3.97E-08
255,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.04E-08,-4.04E-08,-4.04E-08
310,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.17E-08,-4.17E-08,-4.17E-08
358,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.25E-08,-4.25E-08,-4.25E-08
478,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.45E-08,-4.45E-08,-4.45E-08
314,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.49E-08,-4.49E-08,-4.49E-08
267,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.57E-08,-4.57E-08,-4.57E-08
364,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.64E-08,-4.64E-08,-4.64E-08
84,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.65E-08,-4.65E-08,-4.65E-08
282,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.70E-08,-4.70E-08,-4.70E-08
395,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.81E-08,-4.81E-08,-4.81E-08
493,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.89E-08,-4.89E-08,-4.89E-08
419,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-4.99E-08,-4.99E-08,-4.99E-08
190,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.24E-08,-5.24E-08,-5.24E-08
449,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.42E-08,-5.42E-08,-5.42E-08
247,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.48E-08,-5.48E-08,-5.48E-08
456,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.52E-08,-5.52E-08,-5.52E-08
327,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.57E-08,-5.57E-08,-5.57E-08
436,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-5.64E-08,-5.64E-08,-5.64E-08
